Crit from,Crit_to,Conv_type,C,Re,Ra,Pr,Sr,Fr,Re_min,Re_max,Ra_min,Ra_max,Pr_min,Pr_max,Sr_min,Sr_max
Ra_in * Re_in ** -2 * Pr_in ** -0.6,Ra_in * Re_in ** -2 * Pr_in ** -0.2,,,,,,,,,,,,,,,
0,0,free,0,0,0,0,0,0,0,0,0,0,0,0,,
0,0.7,forced,0.001,0.88,0,0.6,0,0,1.9E3,6.6E4,3.4E8,3.2E9,3.2,183.4,,
0.7,inf,mixed,0.003,0.88,-0.08,0.6,0,0,4.4E2,4.5E4,7.8E8,1.3E9,3.3,183.1,,
nan,nan,free,0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,free,0.095,0,0.3,0.2,0,0,0,0,1.5E8,4.4E9,3.4,164.9,,
0,0.08,forced,0.067,0.53,0,0.6,0,0,1.1E3,5.2E4,1.6E8,2.5E9,3.2,166.9,,
0.08,0.5,mixed,0.023,0.51,0.1,0.6,0,0,8.2E2,6.6E4,2.1E8,5.5E9,3.2,149.7,,
0.5,inf,free,0.260,0,0.25,0.2,0,0,6.7E2,3.6E4,3E8,5.7E9,3.2,125.9,,
0,0,free,3.458,0,0.127,0.2,0,0,0,0,1.9E8,2.9E9,3.1,146.1,,
0,0.1,forced,0.093,0.53,0,0.6,0,0,1.2E3,6.6E4,2.9E8,2.3E9,3.2,155.5,,
0.1,0.5,mixed,0.073,0.51,0.04,0.6,0,0,9.4E2,6.7E4,4E8,2.6E9,3.1,137.9,,
0.5,inf,free,0.060,0,0.32,0.2,0,0,8E2,1.8E4,6.8E8,2.4E9,3,106.2,,
